Κωδικός;Όνομα;ΑΦΜ;Υπόλοιπο;Χώρα;Καθεστώς Φ.Π.Α.;Λογ. Κατηγορία;Όνομα - Επάγγελμα;Χρέωση;Πίστωση;Τζίρος
ΠΕΛΑ-00000007;DAFNE FOODS OY;30170983;0,00;Finland;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ ΤΡΟΦΙΜΩΝ;0,00;0,00;0,00
ΠΕΛΑ-00000008;CLUBMAN e.K.;814998177;0,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;;0,00;0,00;0,00
ΠΕΛΑ-00000009;COOL CAT LIMITED;44171 12734;0,00;Great Britain;Τρίτων Χωρών;Πελάτες εξωτερικού ΤΧ;;0,00;0,00;0,00
ΠΕΛΑ-00000010;GREEKTERRAFOODS - SEMITSOGLOU IOANNIS;490582710B01;0,00;Netherlands;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;;0,00;0,00;0,00
ΠΕΛΑ-00000011;SAM & GEO LTDT/A PLATO;283494372;0,00;Great Britain;Τρίτων Χωρών;Πελάτες εξωτερικού ΤΧ;;0,00;0,00;0,00
ΠΕΛΑ-00000012;TOP CUVEE;328394871;0,00;Great Britain;Τρίτων Χωρών;Πελάτες εξωτερικού ΤΧ;;0,00;0,00;0,00
ΠΕΛΑ-00000013;HET OLIJFLAB;856343407B01;0,00;Netherlands;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;;0,00;0,00;0,00
ΠΕΛΑ-00000014;THE ODDS-SCREAMS ICE CREAMS LTD;324734508;0,00;Great Britain;Τρίτων Χωρών;Πελάτες εξωτερικού ΤΧ;;0,00;0,00;0,00
ΠΕΛΑ-00000015;NETWORK CAFE;3411507HH;0,00;Ireland;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;;0,00;0,00;0,00
ΠΕΛΑ-00000016;MERKEN FOOD & DRINKS S.R.L.;38856222;0,00;Romania;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;;0,00;0,00;0,00
ΠΕΛΑ-00000017;HELLENIC FARMS LLC;46-2430591;56.113,18;United States of America;Τρίτων Χωρών;Πελάτες εξωτερικού ΤΧ;;281.026,60;224.913,42;281.026,60
ΠΕΛΑ-00000018;BENCH BAR RESTAURANT;322049242;0,00;Great Britain;Τρίτων Χωρών;Πελάτες εξωτερικού ΤΧ;;0,00;0,00;0,00
ΠΕΛΑ-00000019;MENEXE WINE & FOOD LTD;10362805G;0,00;Cyprus;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;;0,00;0,00;0,00
ΠΕΛΑ-00000020;MILK WOOD CONCEPT STORE;815729557;0,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;;1.057,68;1.057,68;484,77
ΠΕΛΑ-00000021;HEN'S TEETH;3463869MH;0,00;Ireland;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;;0,00;0,00;0,00
ΠΕΛΑ-00000022;ARNO & CO;;0,00;Great Britain;Κανονικό Καθεστώς;Πελάτες λιανικής;;0,00;0,00;0,00
ΠΕΛΑ-00000023;STELLA & CO PTY LTD;11631535398;0,00;Australia;Τρίτων Χωρών;Πελάτες εξωτερικού ΤΧ;;0,00;0,00;0,00
ΠΕΛΑ-00000024;SARL CARABRO20;67892982083;0,00;France;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;;0,00;0,00;0,00
ΠΕΛΑ-00000025;BOUIBOUISHOP;;0,00;France;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000026;BAITASTIC OÜ;328691866;0,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;;0,00;0,00;0,00
ΠΕΛΑ-00000027;PERSONALLYPICKED;40 646 360 527;0,00;Australia;Τρίτων Χωρών;Πελάτες εξωτερικού ΤΧ;;0,00;0,00;0,00
ΠΕΛΑ-00000028;ELLINIKO;859245883B01;0,00;Switzerland;Τρίτων Χωρών;Πελάτες εξωτερικού ΤΧ;;0,00;0,00;0,00
ΠΕΛΑ-00000029;LIACONDAR LTD -THE BERNARD SHAW;9693452K;0,00;Ireland;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;;0,00;0,00;0,00
ΠΕΛΑ-00000030;ΓΡΗΓΟΡΟΠΟΥΛΟΥ ΑΙΚΑΤΕΡΙΝΗ ΑΡΙΣΤΟΜΕΝΗΣ-A Future perfect;132560572;0,00;Ελλάδα;Κανονικό Καθεστώς;Πελάτες εσωτερικού;;0,00;0,00;0,00
ΠΕΛΑ-00000031;ΣΠΥΡΙΔΩΝΙΔΟΥ ΘΕΟΔΩΡΑ ΣΤΥΛΙΑΝΟΣ;117635025;-8,56;Ελλάδα;Κανονικό Καθεστώς;Πελάτες εσωτερικού;ΠΑΝΤΟΠΩΛΕΙΟ;1.083,65;1.092,21;898,03
ΠΕΛΑ-00000032;ΤΣΙΛΗΣ ΓΕΩΡΓΙΟΣ-NOMEE FOODS;143552485;2.203,52;Ελλάδα;Κανονικό Καθεστώς;Πελάτες εσωτερικού;ΥΠΗΡΕΣΙΕΣ ΠΑΡΟΧΗΣ ΣΥΜΒΟΥΛΩΝ ΣΕ ΘΕΜΑΤΑ ΜΑΡΚΕΤΙΓΚ;2.203,52;0,00;0,00
ΠΕΛΑ-00000033;ΚΑΝΙΔΗΣ ΔΗΜΗΤΡΙΟΣ ΣΤΥΛΙΑΝΟΣ-PRICKLEY BEAR;153626310;0,00;Ελλάδα;Ειδικό Καθεστώς;Πελάτες εσωτερικού;;0,00;0,00;0,00
ΠΕΛΑ-00000034;ΣΑΚΕΛΛΑΡΙΟΥ ΛΕΩΝΙΔΑΣ ΠΑΝΑΓΙΩΤΗΣ;070562420;0,00;Ελλάδα;Κανονικό Καθεστώς;Πελάτες εσωτερικού;ΕΜΠΟΡΙΟ ΤΡΟΦΙΜΩΝ;0,00;0,00;0,00
ΠΕΛΑ-00000035;BEYOND LEISURE Ι.Κ.Ε.;801248853;0,00;Ελλάδα;Κανονικό Καθεστώς;Πελάτες εσωτερικού;;0,00;0,00;0,00
ΠΕΛΑ-00000036;ΠΑΛΑΙΟΘΟΔΩΡΟΥ ΚΩΝΣΤΑΝΤΙΝΑ ΔΗΜΗΤΡΙΟΣ;063265318;0,00;Ελλάδα;Κανονικό Καθεστώς;Πελάτες εσωτερικού;ΕΜΠΟΡΙΟ ΤΟΥΡΙΣΤΙΚΩΝ ΕΙΔΩΝ;0,00;0,00;0,00
ΠΕΛΑ-00000037;Α ΦΛΟΥΣΚΑΚΟΣ & ΣΙΑ Ε.Ε.-SPEIRA;084048743;352,00;Ελλάδα;Κανονικό Καθεστώς;Πελάτες εσωτερικού;ΕΣΤΙΑΤΟΡΙΟ;352,00;0,00;0,00
ΠΕΛΑ-00000038;KYKLADES FOOD AND BEVERAGE Ι.Κ.Ε.;800949451;0,00;Ελλάδα;Ειδικό Καθεστώς;Πελάτες εσωτερικού;ΕΜΠΟΡΙΟ ΤΡΟΦΙΜΩΝ & ΠΟΤΩΝ;0,00;0,00;0,00
ΠΕΛΑ-00000039;ΛΥΜΠΕΡΟΠΟΥΛΟΥ ΑΝΝΑ ΠΑΝΑΓΙΩΤΗΣ-Charizma Concept Store;061046789;0,00;Ελλάδα;Κανονικό Καθεστώς;Πελάτες εσωτερικού;;0,00;0,00;0,00
ΠΕΛΑ-00000040;ΚΡΑΣΑΝΑΚΗΣ ΔΗΜΗΤΡΙΟΣ;047456528;0,00;Ελλάδα;Ειδικό Καθεστώς;Πελάτες εσωτερικού;ΕΣΤΙΑΤΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000041;ΚΑΤΣΑΝΟΣ ΔΗΜΗΤΡΙΟΣ ΝΙΚΟΛΑΟΣ;036031190;0,00;Ελλάδα;Κανονικό Καθεστώς;Πελάτες εσωτερικού;Χονδρικό εμπόριο ελαιολάδου;0,00;0,00;0,00
ΠΕΛΑ-00000042;MAΡAN ΓΑΣΤΡΟΝΟΜΙΑ ΕΜΠΟΡΙΟ ΠΟΤΩΝ & ΔΩΡΩΝ ΜΟΝ. Ε.Π.Ε.-AMADEUS;800513968;0,00;Ελλάδα;Κανονικό Καθεστώς;Πελάτες εσωτερικού;ΕΜΠΟΡΙΟ ΤΡΟΦΙΜΩΝ & ΠΟΤΩΝ;0,00;0,00;0,00
ΠΕΛΑ-00000043;ΠΑΛΙΚΡΟΥΣΗ ΕΥΑΓΓΕΛΙΑ ΛΑΖΑΡΟΣ;118506053;0,00;Ελλάδα;Κανονικό Καθεστώς;Πελάτες εσωτερικού;ΠΑΝΤΟΠΩΛΕΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000044;THE SHOPKEEPER & CO;10355565Y;0,00;Cyprus;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;;0,00;0,00;0,00
ΠΕΛΑ-00000045;ODYSSEE FEINKOST;344407680;0,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;;4.133,67;4.133,67;3.053,38
ΠΕΛΑ-00000046;Colorful Concepts Limited /CC٥EU;;0,00;Ireland;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;;0,00;0,00;0,00
ΠΕΛΑ-00000047;Four Drop Pty Ltd;628 195 620;0,00;Australia;Τρίτων Χωρών;Πελάτες εξωτερικού ΤΧ;ΠΑΝΤΟΠΩΛΕΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000049;MARVELS FROM THE WORLD;356866941;0,00;Great Britain;Τρίτων Χωρών;Πελάτες εξωτερικού ΤΧ;ΕΜΠΟΡΙΟ ΤΡΟΦΙΜΩΝ & ΠΟΤΩΝ;0,00;0,00;0,00
ΠΕΛΑ-00000050;BOTTLE AND HOOP;318 630 596 73;0,00;Australia;Τρίτων Χωρών;Πελάτες εξωτερικού ΤΧ;ΕΜΠΟΡΙΟ ΤΡΟΦΙΜΩΝ;0,00;0,00;0,00
ΠΕΛΑ-00000054;Friarun Pty Ltd;52006975346;0,00;Australia;Τρίτων Χωρών;Πελάτες εξωτερικού ΤΧ;ΕΜΠΟΡΙΟ ΤΡΟΦΙΜΩΝ;0,00;0,00;0,00
ΠΕΛΑ-00000059;HELLENIC MUSEUM;11 129 013 305;0,00;Australia;Κανονικό Καθεστώς;Πελάτες εξωτερικού ΤΧ;ΕΜΠΟΡΙΟ ΤΟΥΡΙΣΤΙΚΩΝ ΕΙΔΩΝ;0,00;0,00;0,00
ΠΕΛΑ-00000062;ΤΟΥΡΙΣΤΙΚΑΙ ΕΠΙΧΕΙΡΗΣΕΙΣ ΔΡΗΡΟΣ Α Ε;094068798;0,00;Ελλάδα;Κανονικό Καθεστώς;Πελάτες εσωτερικού;ΞΕΝ. ΤΟΥΡ. ΕΠΙΧΕΙΡΗΣΕΙΣ;0,00;0,00;0,00
ΠΕΛΑ-00000066;ΣΥΣΤΗΜΑΤΑ ΑΥΤΟΜΑΤΙΣΜΟΥ ΕΛΛΑΔΟΣ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ;095636189;0,00;Ελλάδα;Κανονικό Καθεστώς;Πελάτες εσωτερικού;ΤΕΧΝΙΚΗ ΕΡΓΟΛΗΠΤΙΚΗ;0,00;0,00;0,00
ΠΕΛΑ-00000070;Innovius EE;800723947;168,65;Ελλάδα;Κανονικό Καθεστώς;Πελάτες εσωτερικού;ΠΑΝΤΟΠΩΛΕΙΟ;168,65;0,00;0,00
ΠΕΛΑ-00000068;Retail Customer PO;000000000;0,00;Poland;OSS Poland;Πελάτες λιανικής OSS;;661,95;661,95;528,98
ΠΕΛΑ-00000069;Gaia Deli EE;801799509;168,65;Ελλάδα;Κανονικό Καθεστώς;Πελάτες εσωτερικού;ΕΜΠΟΡΙΟ ΤΡΟΦΙΜΩΝ;168,65;0,00;0,00
ΠΕΛΑ-00000072;ΝΕΑ ΑΚΤΗ ΠΟΡΤΕΣ;997545300;0,00;Ελλάδα;Κανονικό Καθεστώς;Πελάτες εσωτερικού;ΞΕΝ. ΤΟΥΡ. ΕΠΙΧΕΙΡΗΣΕΙΣ;0,00;0,00;0,00
ΠΕΛΑ-00000074;FRESH MARKET AE;801389270;27,12;Ελλάδα;Κανονικό Καθεστώς;Πελάτες εσωτερικού;ΕΜΠΟΡΙΟ ΤΡΟΦΙΜΩΝ & ΠΟΤΩΝ;27,12;0,00;0,00
ΠΕΛΑ-00000075;ΑΓΑΝΤΑ ΡΟΥΣΣΟΣ-ΠΕΤΡΟΥ Ο.Ε.;801757229;0,00;Ελλάδα;Κανονικό Καθεστώς;Πελάτες εσωτερικού;ΕΜΠΟΡΙΟ ΤΡΟΦΙΜΩΝ;0,00;0,00;0,00
ΠΕΛΑ-00000077;ΑΦΟΙ ΜΑΡΚΑΚΗ ΟΕ;099583945;0,00;Ελλάδα;Κανονικό Καθεστώς;Πελάτες εσωτερικού;ΠΑΝΤΟΠΩΛΕΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000078;Kilgour St Grocer;000000000;0,00;Australia;Τρίτων Χωρών;Πελάτες εξωτερικού ΤΧ;ΕΜΠΟΡΙΟ ΤΡΟΦΙΜΩΝ & ΠΟΤΩΝ;0,00;0,00;0,00
ΠΕΛΑ-00000079;DONKEY HOTELS ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ;094032187;0,00;Ελλάδα;Κανονικό Καθεστώς;Πελάτες εσωτερικού;ΞΕΝ. ΤΟΥΡ. ΕΠΙΧΕΙΡΗΣΕΙΣ;0,00;0,00;0,00
ΠΕΛΑ-00000080;Retail Customer NE;000000000;0,00;Netherlands;OSS Netherlands;Πελάτες λιανικής OSS;;1.554,70;1.554,70;1.378,66
ΠΕΛΑ-00000081;Μ.ΤΣΑΤΣΑΡΩΝΑΚΗΣ ΚΑΙ ΣΙΑ ΟΕ;099696097;0,00;Ελλάδα;Κανονικό Καθεστώς;Πελάτες εσωτερικού;ΑΡΤΟΠΟΙΕΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000082;Stitch and Home (Jin-Sook Park);252195523;106,56;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;Λιανικο εμπόριο;3.671,95;3.565,39;1.368,93
ΠΕΛΑ-00000083;Beriksson AB;559043-2612;0,00;Sweden;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000084;ΝΙΚΟΛΟΥΔΑΚΗ ΑΘΗΝΑ ΓΕΩΡΓΙΟΣ;136441814;0,00;Ελλάδα;Κανονικό Καθεστώς;Πελάτες εσωτερικού;Λιανικο εμπόριο;0,00;0,00;0,00
ΠΕΛΑ-00000085;VERY VERY GOODS PTY LTD;50660774970;8.992,48;Australia;Τρίτων Χωρών;Πελάτες εξωτερικού ΤΧ;ΕΜΠΟΡΙΟ ΤΡΟΦΙΜΩΝ & ΠΟΤΩΝ;36.979,54;27.987,06;22.021,20
ΠΕΛΑ-00000088;Retail Customer BE;000000000;0,00;Belgium;OSS Belgium;Πελάτες λιανικής OSS;;3.634,49;3.634,49;3.327,30
ΠΕΛΑ-00000089;Retail Customer PR;000000000;0,00;Portugal;OSS Portugal;Πελάτες λιανικής OSS;;132,10;132,10;124,62
ΠΕΛΑ-00000090;Retail Customer SP;000000000;0,00;Spain;OSS Spain;Πελάτες λιανικής OSS;;273,74;273,74;248,85
ΠΕΛΑ-00000091;Violette Enterprises Ltd.;413 9313 16;0,00;United Kingdom;Τρίτων Χωρών;Πελάτες εξωτερικού ΤΧ;ΕΜΠΟΡΙΟ ΤΡΟΦΙΜΩΝ & ΠΟΤΩΝ;0,00;0,00;0,00
ΠΕΛΑ-00000092;GROCERY POST LIMITED;369598717;-575,00;United Kingdom;Τρίτων Χωρών;Πελάτες εξωτερικού ΤΧ;ΕΜΠΟΡΙΟ ΤΡΟΦΙΜΩΝ & ΠΟΤΩΝ;0,00;575,00;0,00
ΠΕΛΑ-00000093;Bottle Chop Ltd;416 5574 87;-32,19;United Kingdom;Τρίτων Χωρών;Πελάτες εξωτερικού ΤΧ;ΕΜΠΟΡΙΟ ΤΡΟΦΙΜΩΝ & ΠΟΤΩΝ;0,00;32,19;0,00
ΠΕΛΑ-00000094;Tandem;41881873020;36,30;France;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;;1.857,22;1.820,92;1.553,97
ΠΕΛΑ-00000096;Air Bio Inc;173-81-00971;1.644,49;Korea;Τρίτων Χωρών;Πελάτες εξωτερικού ΤΧ;;1.644,49;0,00;0,00
ΠΕΛΑ-00000097;Retail Customer US;000000000;0,00;United States of America;Κανονικό Καθεστώς;Πελάτες εξωτερικού ΤΧ;;93,65;93,65;0,00
ΠΕΛΑ-00000098;Retail Customer LUX;000000000;0,00;Luxembourg;OSS Luxembourg;Πελάτες λιανικής OSS;;497,94;497,94;464,76
ΠΕΛΑ-00000099;REDISSA DIBOS SL;B73066458;0,00;Spain;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000100;COOK & BAKER;351782294;0,00;United Kingdom;Τρίτων Χωρών;Πελάτες εξωτερικού ΤΧ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000101;SISTER THE BRAND;308601364;0,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000102;Retail Customer AUS;000000000;0,00;Austria;OSS Austria;Πελάτες λιανικής OSS;;2.816,35;2.816,35;2.462,69
ΠΕΛΑ-00000103;BEETJUICE Ε Ε;801808652;8.062,62;Ελλάδα;Κανονικό Καθεστώς;Πελάτες εσωτερικού;ΕΜΠΟΡΙΟ ΤΡΟΦΙΜΩΝ & ΠΟΤΩΝ;8.062,62;0,00;1.376,90
ΠΕΛΑ-00000104;PAPPSALON;296134686;0,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000105;ΑΘΑΝΑΣΙΟΣ ΧΑΤΖΟΠΟΥΛΟΣ ΒΙΟΜΗΧΑΝΙΑ ΥΛΙΚΩΝ ΣΥΣΚΕΥΑΣΙΑΣ ΑΕ;094049563;0,00;Ελλάδα;Κανονικό Καθεστώς;Πελάτες εσωτερικού;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000106;COMMUNITY CUTLERY;413972884;0,00;United Kingdom;Τρίτων Χωρών;Πελάτες εξωτερικού ΤΧ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000107;Retail Customer CY;000000000;0,00;Cyprus;OSS Cyprus;Πελάτες λιανικής OSS;;0,00;0,00;0,00
ΠΕΛΑ-00000108;ΧΡΥΣΑΝΘΟΣ ΚΑΙ ΜΑΝΩΛΗΣ ΑΓΓΕΛΑΚΗΣ ΟΕ/TIND;099457258;0,00;Ελλάδα;Κανονικό Καθεστώς;Πελάτες εσωτερικού;ΓΡΑΦΙΣΤΙΚΕΣ ΥΠΗΡΕΣΙΕΣ;0,00;0,00;0,00
ΠΕΛΑ-00000109;Olimpo-Food and Fun Unipessoal Lda;517044153;0,00;Portugal;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000110;Nidum Store;861895460B01;0,00;Netherlands;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ ΤΡΟΦΙΜΩΝ;0,00;0,00;0,00
ΠΕΛΑ-00000117;Maison Estelle;292473088;0,00;Great Britain;Τρίτων Χωρών;Πελάτες εξωτερικού ΤΧ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000118;Company NC Ltd (t/a raye the store);394991923;0,00;Great Britain;Τρίτων Χωρών;Πελάτες εξωτερικού ΤΧ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000119;Kentro Concept Store;DE814317418;0,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ ΤΡΟΦΙΜΩΝ;0,00;0,00;0,00
ΠΕΛΑ-00000120;Retail Customer IRL;000000000;0,00;Ireland;OSS Ireland;Πελάτες λιανικής OSS;;761,50;761,50;656,95
ΠΕΛΑ-00000121;Karp & Krieger Handelswaren GmbH;263167666;0,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000123;Bournes Fishmongers Ltd / ta Superette;287864634;0,00;Great Britain;Τρίτων Χωρών;Πελάτες εξωτερικού ΤΧ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000124;Caillou shop;CHE-329.300.499;1.077,55;Switzerland;Τρίτων Χωρών;Πελάτες εξωτερικού ΤΧ;ΕΜΠΟΡΙΟ;1.077,55;0,00;950,80
ΠΕΛΑ-00000125;Fine Little Things;815476370;326,06;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;955,32;629,26;824,35
ΠΕΛΑ-00000126;ΚΩΝΣΤΑΝΤΙΝΟΣ ΠΟΤΟΥ – GROUP OF COMPANIES;038299822;0,00;Ελλάδα;Κανονικό Καθεστώς;Πελάτες εσωτερικού;;0,00;0,00;0,00
ΠΕΛΑ-00000127;VYNT Interior;355456677;0,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;1.109,25;1.109,25;990,16
